KD,Kill,Death,Assistant,WinRate,PickRate,AvgScore,FirstBloodRate
0.98,4.0,4.1,1.3,44.9,0.6,193.0,0.1
1.09,4.5,4.2,1.1,51.4,11.1,224.0,0.1
1.15,4.7,4.1,1.3,51.4,11.4,229.0,0.1
1.0,4.0,4.0,1.2,51.1,6.0,198.0,0.1
0.96,3.8,3.9,1.2,50.8,3.4,190.0,0.2
1.02,4.4,4.3,1.2,50.8,7.1,216.0,0.1
0.98,3.9,4.0,1.3,50.5,0.5,190.0,0.1
0.89,3.6,4.0,1.6,50.1,10.4,176.0,0.1
1.06,4.4,4.2,1.3,50.1,10.7,224.0,0.1
1.12,4.5,4.0,1.1,50.0,3.7,216.0,0.1
0.99,4.1,4.1,1.3,49.9,4.5,200.0,0.1
0.93,3.9,4.2,1.6,49.2,1.3,194.0,0.1
0.86,3.6,4.1,1.8,49.1,4.2,178.0,0.1
0.89,3.6,4.0,1.4,49.0,2.2,180.0,0.1
0.94,3.9,4.1,1.2,48.9,5.4,188.0,0.1
0.9,3.6,4.0,1.3,48.7,4.9,180.0,0.2
0.9,3.7,4.1,2.0,48.4,2.8,184.0,0.1
0.9,3.6,4.1,1.3,48.2,3.9,181.0,0.1
0.95,3.8,4.0,1.3,47.6,1.9,182.0,0.1
0.89,3.7,4.2,2.3,47.4,3.1,190.0,0.1
0.88,3.7,4.2,1.4,46.9,1.4,182.0,0.1
1.17,4.7,4.0,1.3,51.6,11.4,230.0,0.1
1.07,4.5,4.2,1.2,51.6,7.7,222.0,0.1
0.99,3.9,3.9,1.2,51.0,5.9,195.0,0.1
1.1,4.5,4.1,1.1,50.9,11.3,223.0,0.1
1.15,4.6,4.0,1.0,50.6,4.1,220.0,0.1
1.02,4.2,4.1,1.2,49.8,9.5,213.0,0.1
0.92,3.6,3.9,1.1,49.8,3.1,183.0,0.2
0.99,4.0,4.0,1.2,49.7,5.6,194.0,0.1
0.87,3.5,4.0,1.6,49.4,10.1,172.0,0.1
0.95,3.8,4.0,1.3,49.3,2.1,185.0,0.1
0.92,3.7,4.0,1.3,49.3,4.5,183.0,0.1
0.9,3.6,4.0,1.3,49.1,4.7,179.0,0.1
0.91,3.7,4.1,1.8,48.8,3.2,185.0,0.1
0.84,3.5,4.1,1.7,48.8,4.0,174.0,0.1
0.93,3.8,4.1,1.2,48.7,3.7,188.0,0.1
0.91,3.8,4.2,1.3,48.5,1.7,186.0,0.1
0.89,3.5,4.0,1.3,48.5,2.3,178.0,0.1
0.95,4.0,4.2,1.5,48.4,1.3,196.0,0.1
0.96,3.8,4.0,1.3,48.0,0.6,188.0,0.1
0.89,3.7,4.2,2.0,47.7,3.1,188.0,0.1
0.99,3.8,3.9,1.1,51.1,3.9,193.0,0.2
1.14,4.7,4.1,1.3,51.1,11.5,229.0,0.1
1.05,4.4,4.2,1.1,50.8,10.6,216.0,0.1
1.03,4.1,4.0,1.2,50.4,6.3,205.0,0.1
0.95,3.8,4.0,1.6,50.4,2.8,192.0,0.1
1.08,4.6,4.2,1.3,50.3,11.6,231.0,0.1
1.0,4.3,4.3,1.2,50.3,6.8,213.0,0.1
0.89,3.5,4.0,1.6,49.9,10.2,175.0,0.1
1.08,4.4,4.0,1.0,49.8,3.6,210.0,0.1
0.93,3.8,4.1,1.9,49.5,3.1,191.0,0.1
0.98,3.9,4.0,1.4,49.5,2.6,188.0,0.2
0.87,3.6,4.1,1.7,49.3,4.3,179.0,0.1
